Date,Open,High,Low,Close,Adj Close,Volume
2021-07-05,80100.0,80800.0,80000.0,80400.0,77744.953125,8330969
2021-07-06,80600.0,81200.0,80500.0,81200.0,78518.5390625,12131651
2021-07-07,81200.0,81300.0,80300.0,80800.0,78131.7578125,15992202
2021-07-08,81100.0,81200.0,79900.0,79900.0,77261.46875,16660998
2021-07-09,79600.0,79800.0,79000.0,79400.0,76777.984375,22720577
2021-07-12,79900.0,80000.0,79500.0,79700.0,77068.0859375,9768108
2021-07-13,80000.0,80200.0,79800.0,79800.0,77164.78125,9863450
2021-07-14,79400.0,79600.0,79100.0,79500.0,76874.6875,11575636
2021-07-15,79800.0,80600.0,79500.0,80600.0,77938.3515625,13766279
2021-07-16,80100.0,80100.0,79500.0,79800.0,77164.78125,10859399
2021-07-19,79100.0,79200.0,78800.0,79000.0,76391.203125,13155414
2021-07-20,78500.0,79000.0,78400.0,79000.0,76391.203125,12456646
2021-07-21,79000.0,79100.0,78500.0,78500.0,75907.703125,12355296
2021-07-22,79000.0,79800.0,78900.0,79700.0,77068.0859375,12618790
2021-07-23,79700.0,79900.0,79200.0,79300.0,76681.2890625,9098910
2021-07-26,79400.0,79500.0,78800.0,78800.0,76197.796875,10040975
2021-07-27,79200.0,79400.0,78500.0,78500.0,75907.703125,11427693
2021-07-28,78300.0,79200.0,78100.0,79200.0,76584.59375,12743417
2021-07-29,78800.0,79400.0,78800.0,79000.0,76391.203125,14360453
2021-07-30,78900.0,78900.0,78500.0,78500.0,75907.703125,13823411
2021-08-02,79200.0,79500.0,78700.0,79300.0,76681.2890625,11739124
2021-08-03,79400.0,81400.0,79300.0,81400.0,78711.9375,24339360
2021-08-04,82200.0,83100.0,81800.0,82900.0,80162.3984375,25642368
2021-08-05,83300.0,83300.0,82000.0,82100.0,79388.828125,18485469
2021-08-06,81900.0,82500.0,81300.0,81500.0,78808.640625,13342623
2021-08-09,81500.0,82300.0,80900.0,81500.0,78808.640625,15522581
2021-08-10,82300.0,82400.0,80100.0,80200.0,77551.5703125,20362639
2021-08-11,79600.0,79800.0,78500.0,78500.0,75907.703125,30241137
2021-08-12,77100.0,78200.0,76900.0,77000.0,74457.2421875,42365223
2021-08-13,75800.0,76000.0,74100.0,74400.0,71943.1015625,61270643
2021-08-17,74000.0,75100.0,74000.0,74200.0,71749.703125,30944847
2021-08-18,73900.0,74600.0,73100.0,73900.0,71459.6171875,29192631
2021-08-19,73500.0,74400.0,73100.0,73100.0,70686.0390625,22166298
2021-08-20,73500.0,73900.0,72500.0,72700.0,70299.2265625,22364803
2021-08-23,73300.0,74000.0,73000.0,73300.0,70879.4296875,19384648
2021-08-24,73900.0,75700.0,73900.0,75600.0,73103.46875,21016913
2021-08-25,76200.0,76600.0,74900.0,75700.0,73200.1796875,22319664
2021-08-26,76100.0,76200.0,74600.0,74600.0,72136.4921875,16671494
2021-08-27,74300.0,75000.0,73800.0,74300.0,71846.3984375,15172748
2021-08-30,75400.0,75500.0,74200.0,74600.0,72136.4921875,12686999
2021-08-31,74900.0,76700.0,74300.0,76700.0,74167.15625,24630370
2021-09-01,76700.0,77100.0,75900.0,76800.0,74263.8515625,16114775
2021-09-02,76800.0,76800.0,75700.0,76000.0,73490.265625,15347486
2021-09-03,76400.0,76700.0,76000.0,76600.0,74070.4453125,12096419
2021-09-06,76800.0,77600.0,76600.0,77300.0,74747.328125,12861180
2021-09-07,77100.0,77100.0,75900.0,76100.0,73586.9609375,13239401
2021-09-08,76000.0,76400.0,75600.0,76300.0,73780.359375,11798147
2021-09-09,76400.0,76600.0,75000.0,75300.0,72813.375,17600770
2021-09-10,75300.0,75600.0,74800.0,75300.0,72813.375,10103212
2021-09-13,75200.0,76300.0,75100.0,76300.0,73780.359375,11397775
2021-09-14,77100.0,77700.0,76600.0,76600.0,74070.4453125,18167057
2021-09-15,77400.0,77400.0,76400.0,77000.0,74457.2421875,12829128
2021-09-16,77300.0,77400.0,76100.0,76100.0,73586.9609375,13067622
2021-09-17,76300.0,77200.0,75900.0,77200.0,74650.6328125,16289502
2021-09-23,77500.0,77600.0,76800.0,77400.0,74844.03125,17055590
2021-09-24,77600.0,77700.0,77100.0,77300.0,74747.328125,12247274
2021-09-27,77300.0,77700.0,77000.0,77700.0,75134.125,11699798
2021-09-28,77700.0,77800.0,76200.0,76300.0,73780.359375,15406382
2021-09-29,74800.0,75300.0,73800.0,74100.0,71993.6328125,23992458
2021-09-30,74300.0,74800.0,73700.0,74100.0,71993.6328125,19919361
2021-10-01,73900.0,74000.0,72900.0,73200.0,71119.203125,15803395
2021-10-05,73000.0,73000.0,71400.0,72200.0,70147.640625,24013921
2021-10-06,72600.0,72800.0,71200.0,71300.0,69273.21875,18956962
2021-10-07,71600.0,72100.0,71300.0,71600.0,69564.6953125,13683532
2021-10-08,72300.0,72400.0,71500.0,71500.0,69467.5390625,14043287
2021-10-12,70700.0,70900.0,68700.0,69000.0,67038.6015625,31001484
2021-10-13,68700.0,69600.0,68300.0,68800.0,66844.296875,24172015
2021-10-14,69000.0,69800.0,68800.0,69400.0,67427.234375,19520641
2021-10-15,70200.0,71000.0,70000.0,70100.0,68107.3359375,18051612
2021-10-18,70200.0,70300.0,69200.0,70200.0,68204.4921875,13486391
2021-10-19,70800.0,71000.0,70400.0,70600.0,68593.1328125,9507991
2021-10-20,70700.0,71000.0,70200.0,70300.0,68301.6484375,10151638
2021-10-21,70300.0,70600.0,70000.0,70200.0,68204.4921875,10891094
2021-10-22,70000.0,70700.0,70000.0,70400.0,68398.8046875,8395448
2021-10-25,69900.0,70600.0,69500.0,70200.0,68204.4921875,10029621
2021-10-26,70600.0,71500.0,70400.0,71100.0,69078.9140625,10528252
2021-10-27,71000.0,71000.0,70000.0,70100.0,68107.3359375,10295316
2021-10-28,69500.0,72200.0,69500.0,70700.0,68690.28125,20644902
2021-10-29,71200.0,71600.0,69700.0,69800.0,67815.859375,17016151
2021-11-01,70200.0,70600.0,69900.0,69900.0,67913.015625,11503729
2021-11-02,70800.0,72200.0,70700.0,71500.0,69467.5390625,16812570
2021-11-03,71700.0,71700.0,70100.0,70400.0,68398.8046875,12770428
2021-11-04,71200.0,71600.0,70500.0,70600.0,68593.1328125,11818987
2021-11-05,71600.0,71600.0,70200.0,70200.0,68204.4921875,12667743
2021-11-08,70400.0,70600.0,69800.0,70600.0,68593.1328125,11121981
2021-11-09,70300.0,71000.0,70100.0,70500.0,68495.96875,11159589
2021-11-10,70300.0,70900.0,70200.0,70200.0,68204.4921875,9422009
2021-11-11,69900.0,70000.0,69600.0,69900.0,67913.015625,11489122
2021-11-12,70200.0,70900.0,69900.0,70600.0,68593.1328125,10087450
2021-11-15,71700.0,71900.0,70900.0,71400.0,69370.375,12420710
2021-11-16,71500.0,72000.0,71300.0,71300.0,69273.21875,10919239
2021-11-17,71300.0,71600.0,70600.0,70700.0,68690.28125,11027606
2021-11-18,70700.0,71000.0,70200.0,70200.0,68204.4921875,10144957
2021-11-19,70400.0,71400.0,70100.0,71200.0,69176.0703125,11954728
2021-11-22,73300.0,75200.0,73000.0,74900.0,72770.890625,27506623
2021-11-23,76000.0,76000.0,74500.0,75300.0,73159.5234375,22029195
2021-11-24,76000.0,76200.0,74100.0,74800.0,72673.7265625,15652305
2021-11-25,75100.0,75100.0,73600.0,73700.0,71605.0,12559258
2021-11-26,73500.0,74100.0,72000.0,72300.0,70244.8046875,13002242
2021-11-29,71700.0,73000.0,71400.0,72300.0,70244.8046875,16682559
2021-11-30,73200.0,73900.0,70500.0,71300.0,69273.21875,30364841
2021-12-01,72000.0,74800.0,71600.0,74400.0,72285.1015625,21954856
2021-12-02,73900.0,75800.0,73800.0,75800.0,73645.3046875,23652940
2021-12-03,75600.0,76000.0,74100.0,75600.0,73450.9921875,18330240
2021-12-06,75100.0,76700.0,74900.0,76300.0,74131.09375,16391250
2021-12-07,76100.0,77700.0,75600.0,77400.0,75199.828125,19232453
2021-12-08,78300.0,78600.0,77100.0,77400.0,75199.828125,21558340
2021-12-09,77400.0,78200.0,77000.0,78200.0,75977.0859375,21604528
2021-12-10,77400.0,77600.0,76800.0,76900.0,74714.0390625,9155219
2021-12-13,77200.0,78300.0,76500.0,76800.0,74616.8828125,15038750
2021-12-14,76500.0,77200.0,76200.0,77000.0,74811.1953125,10976660
2021-12-15,76400.0,77600.0,76300.0,77600.0,75394.1328125,9584939
2021-12-16,78500.0,78500.0,77400.0,77800.0,75588.4453125,11996128
2021-12-17,76800.0,78000.0,76800.0,78000.0,75782.78125,13108479
2021-12-20,77600.0,77800.0,76800.0,77100.0,74908.3515625,11264375
2021-12-21,77900.0,78300.0,77500.0,78100.0,75879.9296875,14245298
2021-12-22,78900.0,79400.0,78800.0,79400.0,77142.9609375,17105892
2021-12-23,79800.0,80000.0,79300.0,79900.0,77628.7578125,13577498
2021-12-24,80200.0,80800.0,80200.0,80500.0,78211.703125,12086380
2021-12-27,80600.0,80600.0,79800.0,80200.0,77920.234375,10783368
2021-12-28,80200.0,80400.0,79700.0,80300.0,78017.390625,18226325
2021-12-29,80200.0,80200.0,78500.0,78800.0,76905.765625,19794795
2021-12-30,78900.0,79500.0,78100.0,78300.0,76417.78125,14236700
2022-01-04,78800.0,79200.0,78300.0,78700.0,76808.171875,12427416
2022-01-05,78800.0,79000.0,76400.0,77400.0,75539.421875,25470640
2022-01-06,76700.0,77600.0,76600.0,76900.0,75051.4453125,12931954
2022-01-07,78100.0,78400.0,77400.0,78300.0,76417.78125,15163757
2022-01-10,78100.0,78100.0,77100.0,78000.0,76125.0078125,9947422
2022-01-11,78400.0,79000.0,78000.0,78900.0,77003.359375,13221123
2022-01-12,79500.0,79600.0,78600.0,78900.0,77003.359375,11000502
2022-01-13,79300.0,79300.0,77900.0,77900.0,76027.40625,13889401
2022-01-14,77700.0,78100.0,77100.0,77300.0,75441.828125,10096725
2022-01-17,77600.0,77800.0,76900.0,77500.0,75637.015625,8785122
2022-01-18,77600.0,77800.0,76600.0,77000.0,75149.0390625,9592788
2022-01-19,76500.0,76900.0,76100.0,76300.0,74465.8671875,10598290
2022-01-20,76200.0,76700.0,75900.0,76500.0,74661.046875,9708168
2022-01-21,75800.0,75800.0,74700.0,75600.0,73782.6875,15774888
2022-01-24,75400.0,75800.0,74700.0,75100.0,73294.7109375,13691134
2022-01-25,74800.0,75000.0,73200.0,74000.0,72221.1484375,17766704
2022-01-26,74000.0,74000.0,74000.0,74000.0,72221.1484375,0
2022-01-27,73800.0,74000.0,71300.0,71300.0,69586.0546875,22274777
2022-01-28,71300.0,73700.0,71200.0,73300.0,71537.9765625,21367447
2022-02-03,74900.0,74900.0,73300.0,73300.0,71537.9765625,17744721
2022-02-04,74300.0,74600.0,73400.0,74000.0,72221.1484375,12730034
2022-02-07,73500.0,73600.0,72400.0,73000.0,71245.1875,14240838
2022-02-08,73000.0,73000.0,73000.0,73000.0,71245.1875,0
2022-02-09,73000.0,73000.0,73000.0,73000.0,71245.1875,0
2022-02-10,75600.0,75800.0,74700.0,75400.0,73587.5,17746033
2022-02-11,75000.0,75500.0,74600.0,74900.0,73099.515625,12205407
2022-02-14,74400.0,74500.0,73100.0,73700.0,71928.359375,13993255
2022-02-15,74100.0,74200.0,73100.0,73700.0,71928.359375,9320365
2022-02-16,74600.0,74900.0,74200.0,74800.0,73001.9140625,10767386
2022-02-17,75000.0,75600.0,74500.0,75000.0,73197.109375,13605382
